"Year","GDPpercapita"
1965,1229
1966,1215
1967,1286
1968,1290
1969,1347
1970,1384
1971,1364
1972,1329
1973,1360
1974,1344
1975,1430
1976,1417
1977,1494
1978,1540
1979,1427
1980,1495
1981,1557
1982,1570
1983,1663
1984,1690
1985,1720
1986,1755
1987,1793
1988,1938
1989,2024
1990,2087
1991,2062.310303
1992,2115.257324
1993,2176.427734
1994,2254.898926
1995,2355.963135
1996,2475.568115
1997,2514.021729
1998,2611.781494
1999,2707.740479
2000,2753.085449
2001,2837.855469
2002,2870.923584
2003,3035.922607
2004,3212.510986
2005,3396.648682
2006,3629.411133
2007,3870.698975
2008,4030.654297
2009,4270.708008
2010,4525.745605
2011,4768
2012,4932
2013,5172
2014,5458
2015,5794
2016,6125
2017,6449.113281
2018,6806.498535
2019,7071.21389234066
2020,7431.65734255314
2021,7808.17283290625
2022,8201.13286793232
2023,8610.90995287895
2024,9037.87659281492
2025,9482.40529292822
2026,9944.86855810881
2027,10425.6388934255
2028,10925.0888041854
2029,11443.5907949805
2030,11981.5173712373
2031,12539.2410381436
2032,13117.1343002915
2033,13715.569663167
2034,14334.9196317792
2035,14975.5567110181
2036,15637.8534058332
2037,16322.1822215319
2038,17028.9156634808
2039,17758.4262359142
2040,18511.0864444971
2041,19287.2687940001
2042,20087.3457899094
2043,20911.6899368763
2044,21760.6737400889
2045,22634.6697044373
2046,23534.0503355861
2047,24459.1881380081
2048,25410.4556167126
2049,26388.2252771258
2050,27392.8696240187
