Year,ChinaGDP,EuropeanUnionGDP,UnitedStatesGDP,ChinaCO2,EuropeanUnionCO2,UnitedStatesCO2
1960,238.2166313, ,19135.26818,1.170381372,4.729285725,15.99977916
1961,175.0233723, ,19253.54733,.836046901,4.932845597,15.68125552
1962,163.9067543, ,20116.23512,.661428164,5.299049686,16.0139375
1963,176.4001442, ,20701.26995,.640001899,5.736879246,16.48276215
1964,203.6874744, ,21599.81871,.625646054,6.011416269,16.96811858
1965,232.606796, ,22696.67858,.665524211,6.188186542,17.45172525
1966,250.3044606, ,23894.40815,.710891382,6.416514769,18.12107301
1967,229.8758681, ,24226.52879,.574162147,6.676945864,18.59831788
1968,214.7696866, ,25137.16024,.605451997,7.095467681,19.08938916
1969,244.3635327, ,25664.37943,.725149509,7.541633978,19.85794566
1970,283.5848554,13274.24909,25279.18879,.942934535,8.066820728,21.11125227
1971,295.3796492,13683.44593,25783.66035,1.042239697,8.257194549,20.98020348
1972,299.1903597,14239.26395,26850.61316,1.080676637,8.682102721,21.74864198
1973,315.1291069,14997.83216,28097.06044,1.098195691,9.152800479,22.51058213
1974,315.8161062,15367.37145,27691.02017,1.097367111,9.094179247,21.50293038
1975,337.3435232,15175.01939,27362.99749,1.250124095,8.880324829,20.40222407
1976,326.948883,15831.77046,28564.63337,1.285283136,9.583495755,21.15761537
1977,346.9385432,16207.81761,29586.43221,1.388842897,9.471498311,21.53248401
1978,381.0986563,16625.84049,30895.03555,1.52920111,9.813020252,21.97300469
1979,404.5959179,17193.95437,31523.40568,1.542675099,10.13277948,21.78043698
1980,430.8546487,17472.29066,31142.19368,1.495250749,9.989263546,20.78648774
1981,447.1189967,17489.78922,31620.63752,1.460431817,9.339867555,19.76676417
1982,480.310474,17574.18492,30755.94914,1.566739684,9.103718072,18.59049523
1983,524.4084369,17782.07494,31872.99885,1.629055908,8.930120536,18.57154371
1984,596.200056,18183.60779,33884.87597,1.75044806,8.897907776,18.97675027
1985,667.1273635,18566.76589,34986.35687,1.871054791,9.041194752,18.88231274
1986,716.1040751,18993.84148,35864.82439,1.939434257,8.956174821,18.72072272
1987,786.8634917,19415.07022,36775.29726,2.038410689,9.128415876,19.35033442
1988,861.1919655,20157.48865,37965.13115,2.150905225,8.956410313,20.01041341
1989,883.7625941,20876.2238,38989.49367,2.153077911,9.200370699,20.07576978
1990,905.0308586,21510.3424,39278.59535,1.914542564,8.472880884,19.40922912
1991,975.4611925,21845.11067,38715.26169,2.000547455,8.355288111,19.00573561
1992,1100.644172,22034.2621,39526.9708,2.07574444,8.060522613,19.02508245
1993,1239.127184,21836.52238,40082.60482,2.243245307,7.891457628,19.2381088
1994,1384.927711,22359.87169,41189.23836,2.31902906,7.84294042,19.28061081
1995,1520.026785,22911.91811,41794.19221,2.560366185,7.953597625,19.25393761
1996,1653.430868,23304.72312,42869.24717,2.517251858,8.168834954,19.61109008
1997,1787.763819,23887.39024,44212.16704,2.543462797,7.995990102,20.34787297
1998,1909.618955,24573.41454,45658.1366,2.602487248,7.965992524,20.26688031
1999,2038.202874,25256.40646,47282.28468,2.513859675,7.824787373,20.10571961
2000,2193.892991,26211.01845,48689.03129,2.648479977,7.831506747,20.4719331
2001,2359.568217,26745.17478,48690.80794,2.772929198,7.951092724,20.17500468
2002,2557.887094,26980.39254,49081.35879,2.974328335,7.916832032,19.44947847
2003,2797.171718,27127.64478,50053.6241,3.425411363,8.102731053,19.50870471
2004,3061.827764,27725.41343,51476.48879,3.951800629,8.084480756,19.60357288
2005,3390.71017,28159.34002,52796.08982,4.463473752,8.010662536,19.478026
2006,3800.759082,29047.85193,53782.29729,4.906034996,8.002438546,18.9576435
2007,4319.023769,29863.71402,54272.71955,5.302594688,7.883806504,19.05602695
2008,4711.635127,29957.86303,53688.36514,5.431610495,7.682107735,18.29480563
2009,5128.895068,28585.88803,51869.70631,5.79534426,7.097331958,16.81886848
2010,5647.058752,29187.61569,52759.99808,6.332165911,7.281549193,17.43419587
2011,6156.828596,29787.29999,53190.23112,6.898147632,7.072379569,16.59940374
2012,6608.707122,29529.47519,53989.24834,7.039787622,6.927204679,15.77114462
2013,7086.874143,29448.84756,54604.13005,7.289017341,6.742973717,16.10295784
2014,7574.679931,29841.50422,55574.35682,7.212791393,6.400223817,16.02637907
2015,8066.942635,30466.30022,56863.3715,7.124222747,6.516388833,15.53534211
2016,8572.882133,31012.70846,57418.93385,7.071898486,6.51892253,15.13174682
2017,9117.337711,31838.88023,58387.77581,7.174947984,6.559142922,14.80588242
2018,9688.466859,32445.5588,59821.59227,7.352262682,6.424038741,15.24087458
2019,10228.29281,32997.34862,60836.77145, , , 
2020,10430.73005,30996.71684,58510.23662, , , 
